101,1-20,东西,dong1 xi5,"thing; stuff; person; CL:個|个[ge4],件[jian4]",,
102,3-102,冬,dong1,winter,,
103,2-44,懂,dong3,to understand; to know,,
104,3-104,动物,dong4 wu4,"animal; CL:隻|只[zhi1],群[qun2],個|个[ge4]",,
105,1-21,都,dou1,"all, both; entirely (due to) each; even; already",,
106,1-22,读,du2,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",,
107,3-107,短,duan3,short or brief; to lack; weak point; fault,,
108,3-108,段,duan4,"paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc",,
109,3-109,锻炼,duan4 lian4,to engage in physical exercise; to toughen; to temper,,
110,2-47,对,dui4,couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right,,
111,1-23,对不起,dui4 bu5 qi3,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),,
112,1-24,多,duo1,many; much; a lot of; numerous; multi-,,
113,3-113,多么,duo1 me5,how (wonderful etc); what (a great idea etc); however (difficult it may be etc),,
114,1-25,多少,duo1 shao3,number; amount; somewhat,,
115,3-115,饿,e4,to be hungry; hungry,,
116,3-116,而且,er2 qie3,(not only ...) but also; moreover; in addition; furthermore,,
117,1-26,儿子,er2 zi5,son,,
118,3-118,耳朵,er3 duo5,"ear; CL:隻|只[zhi1],個|个[ge4],對|对[dui4]",,
119,1-27,二,er4,two; 2; stupid (Beijing dialect),,
120,3-120,发烧,fa1 shao1,have a high temperature (from illness); have a fever,,
121,3-121,发现,fa1 xian4,to find; to discover,,
122,1-28,饭馆,fan4 guan3,restaurant; CL:家[jia1],,
123,3-123,方便,fang1 bian4,convenient; to help out; to make things easy for people; convenience; suitable; having money to spare; (euphemism) to go to the toilet,,
124,2-54,房间,fang2 jian1,room; CL:間|间[jian1],,
125,3-125,放,fang4,to release; to free; to let go; to put; to place; to let out; to set off (fireworks),,
126,3-126,放心,fang4 xin1,to set one's mind at rest; to be at ease; to rest,,
127,2-55,非常,fei1 chang2,unusual; extraordinary; extreme; very; exceptional,,
128,1-29,飞机,fei1 ji1,airplane; CL: 架[jia4],,
129,3-129,分,fen1,to divide; to separate; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money),,
130,1-30,分钟,fen1 zhong1,minute,,
131,2-58,服务员,fu2 wu4 yuan2,waiter; waitress; attendant; customer service personnel; CL:個|个[ge4],,
132,3-132,附近,fu4 jin4,(in the) vicinity; nearby; neighboring; next to,,
133,3-133,复习,fu4 xi2,to revise; to review; revision; CL:次[ci4],,
134,3-134,干净,gan1 jing4,clean; neat,,
135,3-135,敢,gan3,to dare; daring; (polite) may I venture,,
136,3-136,感冒,gan3 mao4,"to catch cold; (common) cold; CL:場|场[chang2],次[ci4]",,
137,3-137,刚才,gang1 cai2,just now; a moment ago,,
138,2-59,高,gao1,high; tall; above average; loud; your (honorific); surname Gao,,
139,1-31,高兴,gao1 xing4,happy; glad; willing (to do sth); in a cheerful mood,,
140,2-61,告诉,gao4 su5,to tell; to inform; to let know,,
141,2-62,哥哥,ge1 ge5,"older brother; CL:個|个[ge4],位[wei4]",,
142,1-32,个,ge4,individual; this; that; size; classifier for people or objects in general,,
