扯,手止
亘,二日
艮,目匕
更,丙攵
庚,广又人
耕,耒井
羹,羔美
埂,土更
耿,耳火
梗,木更
工,工
弓,弓
公,八厶
厷,又厶
功,工力
攻,工攵
供,人共
宫,宀吕
恭,共心
蚣,虫公
躬,身弓
廾,廾
巩,工凡
汞,工水
拱,手共
共,廿廾
贡,工贝
勾,勹厶
沟,水勾
钩,金勾
狗,犬句
苟,艹句
构,木勾
购,贝勾
垢,土后
够,句多
估,人古
咕,口古
姑,女古
孤,子瓜
沽,水古
菇,艹姑
辜,古辛
箍,竹手匝
古,十口
谷,水口
股,月殳
骨,冎月
鼓,壴支
固,囗古
故,古攵
顾,厄页
雇,户隹
瓜,瓜
刮,舌刀
冎,冎
寡,宀页分
卦,圭卜
挂,手圭
褂,衣卦
乖,千北
拐,手另
夬,丩人
怪,心圣
关,八天
观,又见
官,宀垖
冠,冖元寸
棺,木官
馆,食官
管,竹官
贯,串贝
惯,心贯
雚,雚
灌,水雚
罐,缶雚
光,火儿
广,广
逛,辶狂
归,リ彐
圭,土
龟,龟
规,夫见
闺,门圭
硅,石圭
瑰,王鬼
轨,车九
诡,言危
癸,癶矢
鬼,鬼
刽,会刀
柜,木巨
贵,中一贝
桂,木圭
跪,足危
衮,公衣
滚,水衮
棍,木昆
呙,冎口
郭,享邑
锅,金呙
国,囗玉
果,田木
裹,衣果
过,辶寸
哈,口合
孩,子亥
海,水每
亥,亥
骇,马亥
害,宀丰口
酣,酉甘
憨,敢心
含,今口
函,函
涵,水函
寒,宑冫
韩,倝韦
罕,网干
喊,口咸
汉,水又
汗,水干
旱,日干
悍,心旱
捍,手旱
焊,火旱
憾,心感
撼,手感
翰,倝羽
夯,大力
杭,木亢
航,舟亢
蒿,艹高
毫,高毛
豪,高豕
嚎,口豪
壕,土豪
好,女子
号,口丂
浩,水告
耗,耒毛
呵,口可
喝,口曷
禾,禾
合,亼口
何,人可
和,禾口
河,水可
曷,曰勹人
核,木亥
荷,艹何
盒,合皿
贺,加贝
褐,衣曷
赫,赤
鹤,隹冖鸟
黑,里火
嘿,口黑
痕,疒艮
很,彳艮
狠,犬艮
恨,心艮
亨,亨
哼,口亨
恒,心亘
横,木黄
衡,行鱼人
轰,车双
哄,口共
烘,火共
红,糸工
宏,宀厷
洪,水共
虹,虫工
鸿,江鸟
侯,人丩矢
喉,口侯
猴,犬侯
吼,口孔
后,人一口
厚,厂日子
候,侯
乎,爪丁
虍,虍
呼,口乎
忽,勿心
弧,弓瓜
狐,犬瓜
胡,古月
壶,士冖业
湖,水胡
葫,艹胡
糊,米胡
蝴,虫胡
虎,虍几
唬,口虎
互,互
户,户
护,手户
沪,水户
花,艹化
华,化十
哗,口华
滑,水骨
猾,犬骨
化,人匕
划,戈刀
画,一田凵
话,言舌
桦,木华
怀,心不
徊,彳回
淮,水隹
槐,木鬼
坏,土不
欢,又欠
还,辶不
环,王不
缓,糸爰
幻,予
奂,奂
宦,宀臣
唤,口奂
换,手奂
涣,水奂
患,串心
焕,火奂
痪,疒奂
巟,亡川
荒,艹巟
慌,心荒
皇,白王
凰,几皇
黄,共由
惶,心皇
煌,火皇
蝗,虫皇
蟥,虫黄
恍,心光
晃,日光
谎,言荒
幌,巾晃
灰,又火
恢,心灰
挥,手军
辉,光军
徽,彳山系攵
回,囗口
茴,艹回
蛔,虫回
悔,心每
汇,水匚
会,人云
讳,言韦
绘,糸会
诲,言每
贿,贝有
彗,丰彐
晦,日每
秽,禾岁
惠,十田心
毁,臼工殳
慧,彗心
昏,氏日
荤,艹军
婚,女昏
浑,水军
魂,云鬼
混,水昆
豁,害谷
活,水舌
火,火
伙,人火
或,戈口
货,化贝
获,艹狄
祸,示呙
惑,或心
霍,雨隹
丌,丌
讥,言几
击,土山
叽,口几
饥,食几
圾,土及
机,木几
肌,月几
鸡,又鸟
迹,辶亦
唧,口即
积,禾只
基,其土
