6,扁,bian3,"flat; (old form of character 匾, horizontal tablet with inscription)",
6,贬低,bian3 di1,to belittle; to disparage; to play down; to demean; to degrade; to devalue,
6,贬义,bian3 yi4,derogatory sense; negative connotation,
5,便,bian4,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards,
4,遍,bian4,a time; everywhere; turn; all over; one time,
6,遍布,bian4 bu4,to cover the whole (area); to be found throughout,
6,变故,bian4 gu4,an unforeseen event; accident; misfortune,
6,辩护,bian4 hu4,to speak in defense of; to argue in favor of; to defend; to plead,
3,变化,bian4 hua4,change; variation; to change; to vary; CL:個|个[ge4],
6,辩解,bian4 jie3,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself,
6,便利,bian4 li4,convenient; easy; facilitate,
5,辩论,bian4 lun4,"debate; argument; to argue over; CL:場|场[chang3],次[ci4]",
6,变迁,bian4 qian1,changes; vicissitudes,
6,辨认,bian4 ren4,to recognize; to identify,
6,便条,bian4 tiao2,"(informal) note; CL:張|张[zhang1],個|个[ge4]",
6,便于,bian4 yu2,easy to; convenient for,
6,辩证,bian4 zheng4,investigate; dialectical,
6,变质,bian4 zhi4,to degenerate; to go bad; to deteriorate; metamorphosis,
6,辫子,bian4 zi5,"plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1],條|条[tiao2]",
6,标本,biao1 ben3,specimen; sample; the root cause and symptoms of a disease,
5,标点,biao1 dian3,punctuation; a punctuation mark; to punctuate; CL:個|个[ge4],
6,标记,biao1 ji4,sign; mark; symbol; to mark up,
6,飙升,biao1 sheng1,to rise rapidly; to soar,
6,标题,biao1 ti2,title; heading; headline; caption; subject,
5,标志,biao1 zhi4,sign; mark; symbol; symbolize; to indicate; to mark,
4,标准,biao1 zhun3,(an official) standard; norm; criterion; CL:個|个[ge4],
4,表达,biao3 da2,to voice (an opinion); to express; to convey,
4,表格,biao3 ge2,"form; table; CL:張|张[zhang1],份[fen4]",
6,表决,biao3 jue2,decide by vote; vote,
5,表面,biao3 mian4,surface; face; outside; appearance,
5,表明,biao3 ming2,to make clear; to make known; to state clearly; to indicate; known,
5,表情,biao3 qing2,(facial) expression; to express one's feelings; expression,
3,表示,biao3 shi4,to express; to show; to say; to state; to indicate; to mean,
6,表态,biao3 tai4,to declare one's position; to say where one stands,
5,表现,biao3 xian4,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc),
3,表演,biao3 yan3,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3],
4,表扬,biao3 yang2,to praise; to commend,
6,表彰,biao3 zhang1,cite (in dispatches); commend,
6,憋,bie1,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath),
2,别,bie2,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,
6,别人,bie2 ren5,other people; others; other person,
6,别墅,bie2 shu4,"villa; CL:幢[zhuang4],座[zuo4]",
6,别致,bie2 zhi4,unusual; unique,
6,别扭,bie4 niu5,awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech),
3,宾馆,bin1 guan3,"guesthouse; CL:個|个[ge4],家[jia1]",
6,濒临,bin1 lin2,on the verge of; close to,
6,冰雹,bing1 bao2,"hail; hailstone; CL:場|场[chang2],粒[li4]",
3,冰箱,bing1 xiang1,"icebox; freezer cabinet; refrigerator; CL:臺|台[tai2],個|个[ge4]",
5,丙,bing3,"third of 10 heavenly stems 十天干; third in order; letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; propyl",
4,饼干,bing3 gan1,"biscuit; cracker; cookie; CL:片[pian4],塊|块[kuai4]",
6,并存,bing4 cun2,to exist at the same time; to coexist,
5,病毒,bing4 du2,virus,
6,并非,bing4 fei1,really isn't,
6,并列,bing4 lie4,to stand side by side; to be juxtaposed,
4,并且,bing4 qie3,and; besides; moreover; furthermore; in addition,
6,拨打,bo1 da3,to call; to dial,
6,播放,bo1 fang4,to broadcast; to transmit,
6,波浪,bo1 lang4,wave,
5,玻璃,bo1 li5,"glass; nylon; plastic; CL:張|张[zhang1],塊|块[kuai4]",
6,波涛汹涌,bo1 tao1 xiong1 yong3,tumultuous situations,
6,剥削,bo1 xue1,to exploit; exploitation,
6,播种,bo1 zhong4,to sow seeds; sowing; seed,
6,博大精深,bo2 da4 jing1 shen1,wide-ranging and profound; broad and deep,
6,搏斗,bo2 dou4,to wrestle; to fight; to struggle,
6,博览会,bo2 lan3 hui4,exposition; international fair,
6,伯母,bo2 mu3,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:個|个[ge4],
6,薄弱,bo2 ruo4,weak; frail,
4,博士,bo2 shi4,doctor; court academician (in feudal China); Ph.D.,
5,博物馆,bo2 wu4 guan3,museum,
5,脖子,bo2 zi5,neck; CL:個|个[ge4],
6,补偿,bu3 chang2,compensate; make up,
5,补充,bu3 chong1,to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4],
6,补救,bu3 jiu4,remedy,
6,哺乳,bu3 ru3,breast feeding; to suckle; to nurse,
6,补贴,bu3 tie1,to subsidize; subsidy; allowance,
6,捕捉,bu3 zhuo1,to catch; to seize; to capture,
1,不,bu4,(negative prefix); not; no,
5,布,bu4,cloth; to declare; to announce; to spread; to make known,
5,不安,bu4 an1,unpeaceful; unstable; uneasy; disturbed; restless; worried,
5,不必,bu4 bi4,need not; does not have to,
4,不但,bu4 dan4,not only (... but also...),
4,不得不,bu4 de2 bu4,have no choice or option but to; cannot but; have to; can't help it; can't avoid,
5,不得了,bu4 de2 liao3,desperately serious; disastrous; extremely; exceedingly,
6,不得已,bu4 de2 yi3,act against one's will; have no alternative but to; have to; to have no choice; must,
5,不断,bu4 duan4,unceasing; uninterrupted; continuous; constant,
6,步伐,bu4 fa2,pace; (measured) step; march,
6,不妨,bu4 fang2,there is no harm in; might as well,
5,部分,bu4 fen5,part; share; section; piece; CL:個|个[ge4],
6,不敢当,bu4 gan3 dang1,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me,
6,布告,bu4 gao4,posting on a bulletin board; notice; bulletin; to announce,
6,不顾,bu4 gu4,in spite of; regardless of,
4,不管,bu4 guan3,"no matter (what, how); regardless of; no matter",
4,不过,bu4 guo4,only; merely; no more than; but; however; anyway (to get back to a previous topic),
5,不好意思,bu4 hao3 yi4 si5,to feel embarrassed; to be ill at ease; to find it embarrassing (to do sth),
5,不见得,bu4 jian4 de5,not necessarily; not likely,
6,不禁,bu4 jin1,can't help (doing sth); can't refrain from,
4,不仅,bu4 jin3,not only (this one); not just (...) but also,
6,布局,bu4 ju2,arrangement; composition; layout; opening (chess jargon),
6,不堪,bu4 kan1,cannot bear; cannot stand; utterly; extremely,
6,不可思议,bu4 ke3 si1 yi4,inconceivable (idiom); unimaginable; unfathomable,
1,不客气,bu4 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it,
6,不愧,bu4 kui4,be worthy of; deserve to be called; prove oneself to be,
6,不料,bu4 liao4,unexpectedly; to one's surprise,
5,部门,bu4 men2,department; branch; section; division; CL:個|个[ge4],
5,不免,bu4 mian3,unavoidable,
5,不耐烦,bu4 nai4 fan2,impatience; impatient,
5,不然,bu4 ran2,not so; no; or else; otherwise; if not,
5,不如,bu4 ru2,not equal to; not as good as; inferior to; it would be better to,
6,不时,bu4 shi2,frequently; often; at any time,
6,部署,bu4 shu3,to dispose; to deploy; deployment,
6,部位,bu4 wei4,position; place,
6,不惜,bu4 xi1,not stint; not spare; not hesitate (to do sth); not scruple (to do sth),
6,不相上下,bu4 xiang1 shang4 xia4,equally matched; about the same,
6,不像话,bu4 xiang4 hua4,unreasonable; shocking; outrageous,
6,不屑一顾,bu4 xie4 yi1 gu4,to disdain as beneath contempt,
6,不言而喻,bu4 yan2 er2 yu4,it goes without saying; it is self-evident,
5,不要紧,bu4 yao4 jin3,unimportant; not serious; it doesn't matter; never mind; it looks all right; but,
6,不由得,bu4 you2 de5,can't help; cannot but,
6,不择手段,bu4 ze2 shou3 duan4,by fair means or foul; by hook or by crook; unscrupulously,
6,不止,bu4 zhi3,incessantly; without end; more than; not limited to,
6,布置,bu4 zhi4,to put in order; to arrange; to decorate; to fix up; to deploy,
5,步骤,bu4 zhou4,step; move; measure,
5,不足,bu4 zu2,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,
4,擦,ca1,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish,
4,猜,cai1,to guess,
3,才,cai2,ability; talent; endowment; gift; an expert; only (then); only if; just,
5,财产,cai2 chan3,property; CL:筆|笔[bi3],
6,裁缝,cai2 feng5,tailor; dressmaker,
6,财富,cai2 fu4,wealth; riches,
6,才干,cai2 gan4,ability; competence,
4,材料,cai2 liao4,"material; data; makings; stuff; CL:個|个[ge4],種|种[zhong3]",
6,裁判,cai2 pan4,"judgment; to referee; umpire; judge; referee; CL:個|个[ge4],位[wei4],名[ming2]",
6,财务,cai2 wu4,financial affairs,
6,裁员,cai2 yuan2,to cut staff; to lay off employees,
6,财政,cai2 zheng4,finances (public); financial,
5,踩,cai3,to step on; to tread; to stamp; to press a pedal; to pedal (a bike),
5,采访,cai3 fang3,to interview; to gather news; to hunt for and collect; to cover,
6,采购,cai3 gou4,to procure (for an enterprise etc); to purchase,
5,彩虹,cai3 hong2,rainbow,
6,采集,cai3 ji2,to gather; to collect; to harvest,
6,采纳,cai3 na4,to accept; to adopt,
6,彩票,cai3 piao4,the lottery; lottery ticket,
5,采取,cai3 qu3,"to adopt or carry out (measures, policies, course of action); to take",
1,菜,cai4,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]",
3,菜单,cai4 dan1,"menu; CL:份[fen4],張|张[zhang1]",
4,参观,can1 guan1,to look around; to inspect; visit and observe,
3,参加,can1 jia1,to participate; to take part; to join,
5,参考,can1 kao3,consultation; reference; to consult; to refer,
6,参谋,can1 mou2,staff officer; give advice,
5,餐厅,can1 ting1,"dining-hall; dining-room; restaurant; CL:間|间[jian1],家[jia1]",
5,参与,can1 yu4,to participate (in sth),
6,参照,can1 zhao4,to consult a reference; to refer to (another document),
5,残疾,can2 ji2,disabled; handicapped; deformity on a person or animal,
6,残酷,can2 ku4,cruel; cruelty,
5,惭愧,can2 kui4,ashamed,
6,残留,can2 liu2,to remain; left over; surplus; remnant,
6,残忍,can2 ren3,cruel; mean; merciless; ruthless,
6,灿烂,can4 lan4,to glitter; brilliant; splendid,
6,舱,cang1,cabin; the hold of a ship or airplane,
6,苍白,cang1 bai2,pale; wan,
6,仓促,cang1 cu4,all of a sudden; hurriedly,
6,仓库,cang1 ku4,depot; storehouse; warehouse,
5,操场,cao1 chang3,playground; sports field; drill ground; CL:個|个[ge4],
6,操劳,cao1 lao2,to work hard; to look after,
6,操练,cao1 lian4,drill; practice,
5,操心,cao1 xin1,to worry about,
6,操纵,cao1 zong4,to operate; to control; to rig; to manipulate,
6,操作,cao1 zuo4,to work; to operate; to manipulate,
6,嘈杂,cao2 za2,noisy; clamorous,
3,草,cao3,"grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]",
6,草案,cao3 an4,"draft (legislation, proposal etc)",
6,草率,cao3 shuai4,careless; negligent; sloppy; not serious,
5,册,ce4,book; booklet; classifier for books,
6,策划,ce4 hua4,to plot; to scheme; to bring about; to engineer; planning; producer; planner,
6,测量,ce4 liang2,survey; to measure; to gauge; to determine,
6,策略,ce4 lve4,tactics; to be tactful,
6,侧面,ce4 mian4,lateral side; side; aspect; profile,
5,厕所,ce4 suo3,"toilet; lavatory; CL:間|间[jian1],處|处[chu4]",
5,测验,ce4 yan4,"test; to test; CL:次[ci4],個|个[ge4]",
3,层,ceng2,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.),
6,层出不穷,ceng2 chu1 bu4 qiong2,more and more emerge; innumerable succession; breeding like flies (idiom),
6,层次,ceng2 ci4,arrangement of ideas; administrative level; level; stage; phase,
5,曾经,ceng2 jing1,once; already; former; previously; ever; (past tense marker used before verb or clause),
5,插,cha1,to insert; stick in; pierce; to take part in; to interfere; to interpose,
5,差别,cha1 bie2,difference; distinction; diversity; disparity,
6,差距,cha1 ju4,disparity; gap,
5,叉子,cha1 zi5,fork; CL:把[ba3],
1,茶,cha2,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",
6,查获,cha2 huo4,to investigate and capture (a criminal); to ferret out; to hunt down and arrest,
6,岔,cha4,"fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)",
3,差,cha4,differ from; short of; to lack; poor,
4,差不多,cha4 bu5 duo1,almost; nearly; more or less,
6,刹那,cha4 na4,an instant (Sanskrit: ksana); split second; the twinkling of an eye,
