//Integrated Chinese L1 Ch7
上个[上個]	shàng ge	the previous one
上课[上課]	shàng kè	to go to a class; to start a class; to be in class [vo]
功课[功課]	gōngkè	homework; schoolwork [n]
哪里[哪裏]	nǎli	where [pr]
圆珠笔[圓珠筆]	yuánzhūbǐ	ballpoint pen [n]
多	duō	many; much [adj]
大家	dàjiā	everybody [pr]
字典	zìdiǎn	dictionary [n]
字	zì	character [n]
学习[學習]	xuéxí	to study; to learn [v]
学[學]	xué	to study; to learn [v]
容易	róngyì	easy [adj]
写[寫]	xiě	to write [v]
帅[帥]	shuài	handsome [adj]
平常	píngcháng	usually [adv]
张[張]	zhāng	measure word for flat objects, paper, pictures, etc.
得	de	(a structural particle) [p]
复习[復習]	fùxí	to review [v]
念	niàn	to read aloud [v]
怎么[怎麼]	zěnme	how; how come [qpr]
慢	màn	slow [adj]
懂	dǒng	to understand [v]
教	jiāo	to teach [v]
早上	zǎoshang	morning [t]
早	zǎo	early [adj]
晚	wǎn	late [adj]
本子	běnzi	notebook [n]
枝	zhī	measure word for long, thin, inflexible objects, pens, rifles, etc.
毛笔[毛筆]	máobǐ	writing brush [n]
汉字[漢字]	Hànzì	Chinese characters [n]
生词[生詞]	shēngcí	new words; vocabulary [n]
真	zhēn	really [adv]
第	dì	(prefix for ordinal numbers) [prefix]
笔[筆]	bǐ	pen [n]
纸[紙]	zhǐ	paper [n]
练习本[練習本]	liànxíběn	exercise book [n]
语法[語法]	yǔfǎ	grammar [n]
说话[説話]	shuō huà	to talk [vo]
课文[課文]	kèwén	text of a lesson [n]
课本[課本]	kèběn	textbook [n]
这么[這麼]	zhème	so; such [pr]
酷	kù	cool [adj]
铅笔[鉛筆]	qiānbǐ	pencil [n]
钢笔[鋼筆]	gāngbǐ	fountain pen [n]
录音[錄音]	lùyīn	sound recording; to record [n/vo]
开始[開始]	kāishǐ	to begin, to start; beginning [v/n]
难[難]	nán	difficult [adj]
预习[預習]	yùxí	to preview [v]
//Integrated Chinese L1 Ch8
一边[一邊]	yìbiān	simultaneously; at the same time [adv]
上网[上網]	shàng wǎng	to go online; to surf the internet [vo]
中午	zhōngwǔ	noon [n]
亚洲研究[亞洲研究]	Yàzhōu yánjiū	Asian studies [n]
以前	yǐqián	before [t]
信	xìn	letter (correspondence) [n]
化学[化學]	huàxué	chemistry [n]
午饭[午飯]	wǔfàn	lunch, midday meal [n]
告诉[告訴]	gàosu	to tell [v]
学期[學期]	xuéqī	school term; semester/quarter [n]
宿舍	sùshè	dormitory [n]
封	fēng	measure word for letters
专业[專業]	zhuānyè	major (in college); specialty [n]
工商管理	gōngshāng guǎnlǐ	business management [n]
已经[已經]	yǐjīng	already [adv]
希望	xīwàng	to hope; hope [v/n]
后来[後來]	hòulái	later [t]
教室	jiàoshì	classroom [n]
数学[數學]	shùxué	mathematics [n]
新	xīn	new [adj]
日记[日記]	rìjì	diary [n]
早饭[早飯]	zǎofàn	breakfast [n]
最近	zuìjìn	recently [t]
会[會]	huì	can; know how to [mv]
正在	zhèngzài	in the middle of (doing something) [adv]
历史[歷史]	lìshǐ	history [n]
洗澡	xǐ zǎo	to take a bath/shower [vo]
物理	wùlǐ	physics [n]
用	yòng	to use [v]
发音[發音]	fāyīn	pronunciation [n]
知道	zhīdao	to know [v]
祝	zhù	to wish (well) [v]
笑	xiào	to laugh at; to laugh; to smile [v]
篇	piān	measure word for essays, articles, etc.
累	lèi	tired [adj]
经济[經濟]	jīngjì	economics [n]
能	néng	can; to be able to [mv]
语言学[語言學]	yǔyánxué	linguistics [n]
起床	qǐ chuáng	to get up [vo]
那儿[那兒]	nàr	there [pr]
